curriculum_order,tier,name,n_tokens,difficulty,combined_research,compression_ratio,lexical_diversity_mtld,flesch_reading_ease,compression_ratio_norm,lexical_diversity_norm,flesch_difficulty_norm,familiarity_norm,complexity_norm,avg_rarity,fragmentation,rare_ratio,struct_avg_sentence_length,struct_clause_density,struct_max_sentence_length,struct_n_sentences,struct_sentence_cv,struct_subordination
,,Webster - Unabridged Dictionary 1913,,,0.1846,2.9969,58.0205,72.7042,0.1235,0.2577,0.2340,,,,,,,,,,,
15,1,José Raúl Capablanca - Chess Fundamentals,59806,0.0837,0.1922,3.6041,27.7795,85.2760,0.3667,0.0141,0.0214,0.0559,0.1043,0.0585,1.2721,0.0055,14.4680,0.1861,123,3235,0.9760,0.1138
,,Greek Anthology Vol 1,,,0.2078,2.6886,76.4983,61.4309,0.0000,0.4065,0.4245,,,,,,,,,,,
165,4,Shakespeare - The Tempest,44545,0.2914,0.2705,3.4138,88.2122,86.5444,0.2905,0.5009,0.0000,0.3608,0.1991,0.0769,1.7051,0.0128,10.5180,0.4655,125,2477,1.3021,0.0735
135,4,A.A. Milne - Winnie-the-Pooh,39096,0.1884,0.2745,3.7196,54.8226,84.1593,0.4130,0.2319,0.0403,0.2315,0.1320,0.0700,1.5221,0.0078,17.8387,0.0751,183,1438,1.0535,0.0626
111,3,Mark Twain - Adventures of Huckleberry Finn,159385,0.1623,0.2812,3.6644,64.0234,84.3535,0.3909,0.3060,0.0370,0.1362,0.1847,0.0548,1.4110,0.0051,24.3182,0.6435,265,4645,0.9171,0.2280
,,Rudyard Kipling - Just So Stories,,,0.2909,3.6470,58.7795,78.7239,0.3839,0.2638,0.1322,,,,,,,,,,,
,,Lewis Carroll - Through the Looking-Glass,,,0.3163,3.7145,77.7055,84.9418,0.4109,0.4162,0.0271,,,,,,,,,,,
175,4,Confucius - The Analects,68339,0.7113,0.3173,3.8300,56.5509,80.0904,0.4572,0.2458,0.1091,1.0000,0.1095,0.2466,2.0596,0.1787,12.4972,0.1266,133,2655,1.0696,0.0328
,,English Words with Latin and Greek Roots,,,0.3233,3.8875,57.8828,82.0330,0.4802,0.2566,0.0763,,,,,,,,,,,
,,E. Nesbit - The Railway Children,,,0.3308,3.7610,77.1258,83.4248,0.4295,0.4116,0.0527,,,,,,,,,,,
144,4,Shakespeare - Hamlet,52285,0.2163,0.3368,3.7458,84.2001,84.6564,0.4235,0.4685,0.0319,0.2474,0.1800,0.0839,1.5066,0.0121,9.3112,0.1715,116,3727,1.3418,0.0483
,,George MacDonald - At the Back of the North Wind,,,0.3390,3.9337,69.0449,85.8342,0.4987,0.3465,0.0120,,,,,,,,,,,
,,Lewis Carroll - Alice in Wonderland,,,0.3407,3.8060,73.5017,81.4851,0.4476,0.3824,0.0855,,,,,,,,,,,
143,4,Shakespeare - Othello,45910,0.2140,0.3415,3.7508,81.0116,82.2760,0.4255,0.4429,0.0722,0.2479,0.1737,0.0886,1.4947,0.0126,8.0107,0.1215,106,3834,1.3571,0.0462
149,4,Shakespeare - King Lear,46742,0.2281,0.3426,3.6965,93.8843,85.5777,0.4037,0.5465,0.0163,0.2679,0.1796,0.0835,1.5391,0.0129,8.7494,0.2682,122,3471,1.3326,0.0294
,,Carlo Collodi - Pinocchio,,,0.3528,3.8465,76.7958,82.1223,0.4638,0.4089,0.0747,,,,,,,,,,,
,,Frances Hodgson Burnett - The Secret Garden,,,0.3544,3.9162,75.8221,84.5897,0.4917,0.4011,0.0330,,,,,,,,,,,
,,Rudyard Kipling - The Jungle Book,,,0.3559,3.8032,81.2955,81.4786,0.4464,0.4451,0.0856,,,,,,,,,,,
140,4,Snorri Sturluson — - The Prose Edda Poetic Edda,131764,0.2000,0.3584,3.7297,88.2710,80.7383,0.4170,0.5013,0.0981,0.2445,0.1423,0.0806,1.5144,0.0091,13.0057,0.3048,244,6690,1.1227,0.0380
160,4,Aristophanes - The Frogs,26159,0.2618,0.3606,3.8709,83.6664,84.7139,0.4736,0.4642,0.0309,0.2801,0.2422,0.0864,1.5563,0.0097,8.3162,0.1153,234,2021,1.5728,0.0673
155,4,Shakespeare - Macbeth,32469,0.2406,0.3629,3.7561,94.8724,84.0576,0.4276,0.5545,0.0420,0.2851,0.1858,0.0914,1.5411,0.0170,9.6954,0.2881,102,2173,1.3107,0.0916
151,4,Pliny the Elder - Natural History (selections),360901,0.2348,0.3678,3.7062,55.9006,61.9730,0.4076,0.2406,0.4153,0.3133,0.1100,0.0894,1.5969,0.0133,16.3740,0.1979,271,13802,0.9706,0.0771
,,R.L. Stevenson - Kidnapped,,,0.3759,3.8455,83.4014,79.7616,0.4634,0.4621,0.1147,,,,,,,,,,,
,,R.L. Stevenson - Treasure Island,,,0.3810,3.8415,88.6354,80.8450,0.4618,0.5043,0.0963,,,,,,,,,,,
,,L. Frank Baum - The Wonderful Wizard of Oz,,,0.3829,3.9544,76.7881,80.1124,0.5070,0.4088,0.1087,,,,,,,,,,,
70,2,Julian of Norwich - Revelations of Divine Love,85273,0.1213,0.3849,4.1168,49.0498,74.1277,0.5721,0.1854,0.2099,0.1010,0.1387,0.0657,1.3225,0.0082,26.0157,0.5791,225,2478,0.7903,0.1114
89,3,John Bunyan - The Pilgrim's Progress,80038,0.1348,0.3865,4.0375,69.3345,79.6523,0.5403,0.3488,0.1165,0.0847,0.1707,0.0590,1.3145,0.0072,18.8265,0.5195,143,3234,1.0532,0.0618
,,Frances Hodgson Burnett - A Little Princess,,,0.3896,3.9639,78.3536,79.7315,0.5108,0.4214,0.1152,,,,,,,,,,,
126,3,Oscar Wilde - The Importance of Being Earnest,34653,0.1790,0.3927,3.9186,74.5047,75.0077,0.4927,0.3904,0.1950,0.2372,0.0885,0.0898,1.4672,0.0175,7.5441,0.0260,102,3117,1.1159,0.0205
84,2,Brothers Grimm - Grimm's Fairy Tales,132164,0.1335,0.3933,4.0645,69.7062,79.5010,0.5511,0.3518,0.1191,0.0490,0.1824,0.0534,1.2739,0.0053,35.4452,0.6795,253,2927,0.7750,0.0198
,,J.M. Barrie - Peter Pan,,,0.3940,3.9225,87.7197,81.1869,0.4942,0.4969,0.0906,,,,,,,,,,,
120,3,Book of Songs (Shijing),65398,0.1706,0.3942,4.0234,55.2919,70.4662,0.5346,0.2357,0.2718,0.2223,0.0936,0.0965,1.4265,0.0175,16.9907,0.2175,102,2694,0.8084,0.3541
24,1,Gertrude Stein - Tender Buttons,22524,0.0910,0.3969,4.3644,26.0334,72.0478,0.6712,0.0000,0.2450,0.0890,0.0930,0.0817,1.2607,0.0098,15.9785,0.0429,172,1118,0.9751,0.0322
,,Rudyard Kipling - Kim,,,0.4009,3.7648,106.3226,80.9437,0.4311,0.6467,0.0947,,,,,,,,,,,
,,George MacDonald - The Princess and the Goblin,,,0.4024,4.0878,75.7296,81.3147,0.5604,0.4003,0.0884,,,,,,,,,,,
158,4,Geoffrey Chaucer - The Canterbury Tales (Middle English),397895,0.2492,0.4033,3.7072,90.3619,70.0266,0.4080,0.5182,0.2792,0.2082,0.2843,0.0743,1.4701,0.0103,32.6790,0.8880,383,8280,1.0670,0.1430
138,4,Aristophanes - The Birds,34161,0.1989,0.4109,3.9371,76.4102,72.4909,0.5001,0.4058,0.2376,0.2264,0.1669,0.0872,1.4673,0.0102,14.1865,0.1517,137,1641,1.0412,0.5789
39,1,Aesop - Aesop's Fables,53291,0.1016,0.4137,4.0537,67.6383,73.1775,0.5468,0.3351,0.2259,0.0951,0.1077,0.0708,1.2996,0.0085,32.0853,0.3419,179,1278,0.6669,0.0329
,,L.M. Montgomery - Anne of Green Gables,,,0.4143,3.9165,93.5805,78.8797,0.4918,0.5441,0.1296,,,,,,,,,,,
40,1,James Joyce - Dubliners,96167,0.1021,0.4145,4.0372,77.3029,76.7982,0.5402,0.4130,0.1647,0.1408,0.0320,0.0730,1.3655,0.0100,17.4518,0.1651,123,4033,0.7118,0.0481
74,2,Dhammapada,19801,0.1234,0.4168,4.2534,48.1725,72.6185,0.6268,0.1783,0.2354,0.1216,0.1252,0.0758,1.3268,0.0105,14.1575,0.1907,102,1054,1.0024,0.2543
106,3,Aristotle - Historia Animalium,186401,0.1548,0.4174,4.1016,52.2280,67.2093,0.5660,0.2110,0.3268,0.1819,0.1217,0.0875,1.3854,0.0166,19.3108,0.4102,139,6967,0.9165,0.0422
,,Jack London - White Fang,,,0.4181,4.1197,69.6642,76.2305,0.5732,0.3515,0.1743,,,,,,,,,,,
,,Anna Sewell - Black Beauty,,,0.4196,4.0290,83.0889,77.9568,0.5369,0.4596,0.1452,,,,,,,,,,,
,,Rubaiyat of Omar Khayyam,,,0.4201,3.6441,110.9135,72.8684,0.3827,0.6837,0.2312,,,,,,,,,,,
,,Kenneth Grahame - Wind in the Willows,,,0.4248,3.9296,89.7523,75.1902,0.4971,0.5133,0.1919,,,,,,,,,,,
0,1,Gertrude Stein - Three Lives,107345,0.0454,0.4267,4.3415,52.1543,76.3564,0.6620,0.2104,0.1722,0.0041,0.0640,0.0524,1.2067,0.0037,20.5672,0.0092,179,4325,0.8155,0.0083
21,1,Fyodor Dostoevsky - The Brothers Karamazov,470571,0.0892,0.4268,4.1133,72.0193,74.9879,0.5706,0.3704,0.1953,0.1096,0.0625,0.0635,1.3443,0.0065,17.1631,0.1383,209,20365,0.8134,0.0814
86,2,Dorothy Wordsworth - Journals Vol. 1,118296,0.1338,0.4278,4.0233,87.2255,77.7223,0.5346,0.4929,0.1491,0.1551,0.1085,0.0739,1.3873,0.0092,15.3877,0.1704,143,5533,1.0080,0.0228
133,4,John Keats - Letters,199762,0.1876,0.4299,3.8925,90.3595,72.5234,0.4822,0.5182,0.2370,0.1886,0.1866,0.0768,1.4302,0.0117,22.6945,0.2366,660,6154,1.1079,0.0640
67,2,Charles Dickens - A Christmas Carol,43157,0.1188,0.4301,4.0972,80.0353,77.2532,0.5642,0.4350,0.1571,0.1396,0.0935,0.0710,1.3726,0.0073,19.3364,0.2804,135,1626,0.8550,0.0431
36,1,Sir Gawain and the Green Knight (Middle English),24219,0.1009,0.4331,4.0835,77.2306,74.5670,0.5587,0.4124,0.2025,0.0795,0.1184,0.0729,1.2712,0.0073,34.3881,0.3466,170,554,0.6532,0.0560
110,3,Friedrich Nietzsche - Thus Spoke Zarathustra,151284,0.1573,0.4354,4.1589,66.8250,72.6409,0.5889,0.3286,0.2350,0.1627,0.1516,0.0769,1.3906,0.0102,16.9466,0.7141,196,6419,0.8830,0.3359
30,1,Fyodor Dostoevsky - Crime and Punishment,280008,0.0945,0.4362,4.1040,77.8545,75.1052,0.5669,0.4174,0.1934,0.1220,0.0545,0.0638,1.3618,0.0076,15.5874,0.0976,265,13191,0.8428,0.0264
115,3,La Rochefoucauld - Maxims,44009,0.1668,0.4371,4.0229,78.0813,71.1522,0.5344,0.4193,0.2602,0.2136,0.0998,0.0761,1.4729,0.0113,16.5799,0.1065,139,1802,0.9280,0.1620
53,2,Epictetus - The Discourses,77967,0.1094,0.4390,4.3435,49.1485,72.0995,0.6628,0.1862,0.2442,0.0217,0.1532,0.0552,1.2238,0.0064,20.5434,0.3792,229,3101,0.9204,0.3018
130,3,Ovid - Metamorphoses,181677,0.1839,0.4393,4.0384,71.6814,68.3191,0.5406,0.3677,0.3081,0.2201,0.1385,0.0843,1.4631,0.0110,24.0642,0.5493,245,5159,0.8485,0.0593
172,4,Blaise Pascal - Pensées,135059,0.3358,0.4406,4.2750,54.3676,70.9765,0.6354,0.2282,0.2632,0.0958,0.4651,0.0664,1.3137,0.0074,18.9221,0.3614,2489,5429,2.0676,0.0519
6,1,Cather - O Pioneers,77196,0.0777,0.4457,4.1104,90.6751,79.2719,0.5695,0.5207,0.1229,0.1097,0.0053,0.0713,1.3234,0.0075,16.3249,0.0957,102,3573,0.6630,0.0409
174,4,Behn - Oroonoko (Works Vol V),202031,0.3461,0.4460,3.7237,79.6185,55.5865,0.4146,0.4316,0.5233,0.2368,0.4283,0.0813,1.4921,0.0147,44.7929,1.0728,926,3022,1.1588,0.5215
47,2,Henry James - The Turn of the Screw,59858,0.1052,0.4484,4.1436,79.8540,75.0305,0.5828,0.4335,0.1946,0.0856,0.1217,0.0556,1.3258,0.0062,23.2597,0.5497,125,1941,0.7080,0.3560
26,1,Hermann Hesse - Siddhartha,55101,0.0915,0.4519,4.2553,53.2258,66.8023,0.6275,0.2190,0.3337,0.0919,0.0910,0.0652,1.3111,0.0069,24.7055,0.1881,273,1701,0.7723,0.0541
82,2,F. Scott Fitzgerald - The Great Gatsby,73277,0.1321,0.4521,3.9562,98.9026,74.3639,0.5077,0.5870,0.2059,0.1801,0.0496,0.0722,1.4341,0.0078,18.6310,0.2120,102,2740,0.6968,0.1704
,,Jack London - Call of the Wild,,,0.4522,4.0933,83.7981,73.6294,0.5626,0.4653,0.2183,,,,,,,,,,,
